x,y,z
0.56,0.71,-0.34
0.56,0.71,0.5
2.35,1.94,1.76
1.12,1.07,0.99
3.16,0.86,1.66
1.87,0.88,1.58
0.72,1.93,0.39
3.36,2.01,0.36
1.39,1.58,0.51
0.86,1.18,1.76
0.45,1.8,1.53
2.02,2.07,1.6
2.8,2.27,0.85
2.55,1.31,0.36
0.3,1.06,0.73
0.71,0.82,0.3
2.72,1.92,0.56
3.43,2.27,0.85
3.39,0.67,0.78
3.08,1.23,0.39
1.77,0.68,0.43
2.46,2.27,0.8
1.35,1.98,1.74
1.07,0.61,0.52
0.71,1.49,1.75
1.84,1.31,0.86
3.16,0.96,1.46
3.31,1.71,0.82
2.92,1.83,1.16
2.44,1.85,0.48
3.31,1.29,0.34
0.72,1.97,0.48
0.87,1.99,0.64
1.45,1.32,0.83
0.78,2.05,1.26
0.77,1.75,0.71
2.26,1.36,1.46
0.53,0.86,0.89
1.85,0.85,1.6
0.86,1.96,1.63
1.01,2.29,1.31
3.29,2.06,1.23
