x,y,z
0.6,0.81,-0.25
0.6,0.81,0.5
0.81,1.92,1.38
2.17,0.87,0.33
0.88,2.14,0.61
1.51,1.32,1.47
3.28,0.73,1.43
2.08,0.79,1.62
2.38,1.13,0.47
0.87,1.28,1.25
2.64,0.99,0.61
3.13,1.36,1.55
1.0,2.14,1.58
0.88,0.77,1.17
0.74,1.66,0.54
2.18,0.95,0.55
1.42,2.22,0.65
3.39,0.93,1.06
1.03,1.15,0.94
0.99,1.47,0.55
0.99,2.08,1.2
3.26,1.37,0.98
2.29,0.91,1.28
2.41,1.8,0.68
1.74,0.78,1.25
1.47,1.8,0.98
0.91,0.99,1.62
2.24,0.97,0.66
0.91,1.72,0.93
1.24,2.12,0.36
2.16,1.38,0.71
1.99,1.26,0.75
3.31,1.33,0.91
0.76,1.52,0.54
0.41,1.18,0.57
2.33,2.04,0.95
0.74,1.38,0.73
3.48,0.89,0.46
