x,y,z
0.48,0.68,-0.28
0.48,0.68,0.5
0.44,1.38,1.02
3.45,2.05,0.78
0.96,1.36,0.81
0.95,2.26,0.54
2.66,0.97,1.61
2.9,2.11,0.37
3.2,1.47,0.58
1.53,1.25,0.38
0.73,1.45,0.48
2.13,0.94,1.49
1.49,1.15,0.8
1.21,0.71,0.51
2.28,1.21,1.57
3.12,2.2,1.21
3.16,0.83,0.66
3.14,1.1,1.46
2.31,1.28,1.03
3.12,1.7,1.42
2.91,1.63,0.49
2.8,1.03,0.64
3.02,1.1,0.73
1.6,1.71,0.44
2.48,1.13,1.07
1.69,0.93,1.23
1.24,0.93,0.81
2.16,1.77,1.41
0.87,1.18,1.57
2.24,1.41,0.6
2.89,0.67,1.13
2.43,1.45,0.42
3.1,0.84,1.0
1.28,1.19,1.26
