x,y,z
0.74,0.83,-0.18
0.74,0.83,0.5
2.24,1.57,1.09
0.99,1.9,0.92
2.97,1.6,1.17
0.52,1.36,0.64
0.7,1.8,0.99
1.88,1.88,0.67
2.66,1.98,1.13
2.07,0.6,1.32
2.93,1.19,0.44
2.74,1.72,1.06
1.72,1.76,1.08
2.87,1.48,0.83
2.3,0.7,1.28
0.57,0.99,1.64
2.14,1.42,1.25
2.86,1.47,0.5
3.05,1.27,1.37
3.21,1.66,1.03
3.06,0.9,1.11
1.83,0.77,1.67
1.05,1.22,1.39
2.31,1.65,1.06
0.94,1.75,1.42
1.93,2.1,0.37
2.82,1.08,1.25
2.7,2.25,0.33
1.94,0.99,1.0
1.34,0.62,1.43
0.45,0.74,1.04
1.89,0.86,1.1
0.95,1.28,0.51
2.74,2.09,0.72
