x,y,z
0.49,0.64,-0.3
0.49,0.64,0.5
0.95,2.23,1.55
0.47,1.44,1.67
0.32,2.16,1.25
0.9,1.24,0.66
3.29,1.08,1.24
0.57,1.71,1.02
0.58,1.36,0.82
1.02,1.92,1.63
3.42,2.02,1.18
2.93,1.16,0.49
2.5,2.07,1.77
0.91,0.81,1.66
1.52,1.5,0.97
2.21,0.95,1.51
0.72,1.27,0.62
0.32,0.8,0.87
1.16,0.67,1.54
0.44,1.97,0.83
1.47,1.7,1.59
2.79,1.02,1.66
2.39,0.83,1.14
1.56,1.37,1.1
3.04,1.19,0.7
2.49,1.63,1.27
2.83,0.87,0.72
1.84,0.65,0.52
1.45,1.89,0.66
2.46,1.39,0.58
2.63,2.07,1.49
2.96,0.91,0.53
2.19,1.68,1.59
0.75,1.62,0.48
1.2,2.03,1.63
3.44,1.55,1.73
3.42,1.72,1.24
