x,y,z
0.71,0.75,-0.23
0.71,0.75,0.5
1.56,0.84,0.64
0.51,2.29,0.75
0.35,0.7,0.7
2.62,0.99,1.07
2.39,0.74,1.65
1.92,1.22,1.3
2.95,1.96,1.37
1.37,1.76,1.44
2.94,1.84,1.44
2.06,1.73,0.65
0.4,1.64,1.59
1.8,2.13,1.3
2.19,2.12,1.49
1.52,2.12,0.52
1.29,1.67,0.76
2.27,0.95,0.7
1.0,1.63,1.56
1.76,2.24,1.6
2.29,1.98,0.8
2.18,2.25,0.66
1.26,0.92,1.03
2.83,1.09,1.56
1.26,0.84,0.57
3.21,1.73,0.99
1.53,1.12,0.39
2.7,1.68,1.55
2.94,1.81,0.97
1.15,0.62,0.75
1.44,1.34,1.14
0.97,1.16,1.65
0.68,1.07,1.17
2.93,1.7,0.78
2.8,1.34,1.44
2.46,1.88,0.79
2.61,0.91,0.44
2.17,1.91,1.14
2.31,1.46,0.81
2.08,1.92,1.5
2.69,1.12,0.33
3.3,1.37,0.32
