x,y,z
0.59,0.75,-0.23
0.59,0.75,0.5
0.73,1.5,1.37
3.42,2.14,0.58
2.17,1.04,1.58
1.92,1.61,0.36
0.39,2.26,1.73
2.62,2.19,1.49
2.78,1.98,0.84
2.82,1.99,1.06
0.39,1.42,0.95
0.76,0.78,1.66
1.19,1.77,0.95
2.56,2.27,1.43
0.37,1.31,0.38
2.31,1.38,1.44
2.66,0.73,1.17
1.77,1.21,0.98
3.01,1.95,1.11
3.05,0.68,1.09
3.43,2.22,1.75
2.49,0.94,1.39
2.69,0.71,1.6
0.88,1.49,0.62
1.25,1.61,0.34
1.45,1.75,0.64
0.87,1.97,1.52
1.87,1.43,0.48
2.34,1.34,0.48
1.47,0.81,1.15
0.87,1.32,1.7
2.97,1.33,0.8
2.67,0.77,1.04
1.4,1.32,1.52
1.38,2.3,1.34
1.76,0.93,0.41
0.58,2.0,1.53
1.84,1.59,1.65
2.55,1.1,0.45
