x,y,z
0.63,0.74,-0.24
0.63,0.74,0.5
3.45,1.83,0.73
3.19,0.65,0.8
3.09,0.74,1.13
0.56,1.51,1.19
0.63,1.82,1.62
0.67,1.98,0.47
0.85,2.2,0.61
1.69,1.86,0.52
1.01,0.79,1.18
2.18,0.93,0.59
0.7,1.39,1.61
1.64,1.58,1.23
0.66,1.68,1.48
2.84,1.06,1.09
2.5,0.78,1.6
1.13,1.94,1.49
0.61,1.66,0.62
0.69,1.72,1.42
2.98,2.1,1.17
2.79,1.82,0.53
0.82,1.5,1.46
2.81,0.97,1.33
1.67,1.71,0.88
0.52,2.18,0.57
2.09,1.68,1.57
2.78,1.11,0.88
3.3,0.78,0.85
2.0,2.06,0.33
1.24,0.93,0.82
1.0,2.22,0.53
2.13,0.9,1.03
1.48,1.55,0.48
2.51,2.18,1.59
