x,y,z
0.83,1.0,-0.26
0.83,1.0,0.5
3.34,0.77,1.09
0.87,1.31,0.35
1.19,0.74,0.86
0.74,1.03,0.84
0.97,1.55,0.82
0.66,1.79,0.67
0.68,1.83,0.38
3.13,1.28,0.43
0.93,1.82,0.6
2.35,1.88,0.96
2.53,1.37,1.12
2.01,1.31,1.56
1.66,0.62,1.65
1.35,1.53,0.36
0.49,1.7,1.07
1.07,2.14,1.73
0.7,1.23,1.69
1.05,0.91,0.56
2.6,0.89,1.75
1.42,1.75,0.91
2.18,1.21,1.76
1.04,1.56,1.36
1.76,0.9,0.33
1.8,1.06,0.44
2.01,1.16,0.55
3.35,0.68,1.51
2.87,0.61,1.74
1.22,1.72,1.14
3.1,0.86,1.25
1.9,1.09,1.76
1.44,1.53,1.35
2.22,1.85,1.73
2.22,1.94,1.73
1.41,2.03,1.36
1.5,1.47,1.23
0.37,1.15,1.21
3.44,1.38,0.71
