x,y,z
0.61,0.82,-0.33
0.61,0.81,0.5
0.85,0.61,1.48
3.25,2.16,1.61
0.65,1.03,0.75
2.48,1.79,0.37
2.57,0.7,1.17
2.37,1.78,0.82
3.27,1.82,0.88
2.31,2.16,0.84
1.19,1.12,0.33
3.48,0.96,0.82
0.33,0.63,1.32
0.6,1.93,0.67
0.72,1.51,1.61
2.07,0.84,1.52
0.65,1.68,1.3
2.73,1.49,1.63
1.12,2.18,1.65
1.51,2.08,1.32
2.32,1.28,1.39
2.45,1.73,0.88
2.48,1.55,0.62
2.67,1.33,0.97
2.6,0.69,1.44
3.07,1.5,1.6
1.79,1.26,1.43
0.84,1.7,0.45
0.52,0.77,0.42
0.73,0.93,1.6
2.71,0.62,1.09
2.66,0.61,1.03
2.54,2.06,1.07
3.01,1.87,0.99
3.11,2.0,0.36
1.49,1.68,1.57
0.53,0.84,0.35
3.47,0.87,1.27
3.41,1.85,0.9
