x,y,z
0.6,0.7,-0.28
0.6,0.7,0.5
2.77,1.66,1.15
2.88,2.21,0.68
3.22,2.3,0.56
1.66,0.73,0.84
2.63,2.2,0.35
0.46,1.49,1.52
1.19,0.98,1.57
1.94,2.07,0.95
1.75,2.29,1.07
3.06,2.11,1.25
2.38,2.17,0.41
1.48,0.88,0.95
0.88,1.92,1.39
1.37,0.88,0.71
2.03,1.58,1.07
3.45,1.42,1.24
2.24,2.16,1.12
2.64,1.76,0.84
0.89,2.08,1.58
2.26,1.83,1.78
2.04,1.05,0.65
3.22,0.64,0.7
0.55,1.74,1.32
1.85,0.91,1.11
0.97,1.7,1.54
2.5,2.0,1.56
0.82,1.29,1.71
0.62,1.4,1.39
2.99,0.72,1.42
2.75,1.11,1.61
1.37,1.86,1.3
0.88,1.29,0.48
3.28,1.54,1.09
2.38,1.6,1.16
1.49,0.99,0.87
2.29,1.62,1.59
1.6,2.12,1.25
1.92,0.86,1.18
0.42,1.93,1.54
0.35,1.22,1.23
1.38,1.26,0.75
3.18,0.63,1.56
