x,y,z
0.61,0.79,-0.39
0.6,0.8,0.5
1.4,1.43,1.22
0.87,1.46,0.5
0.64,2.29,0.45
2.12,0.81,1.08
0.47,0.8,1.45
2.67,1.18,1.15
2.97,2.28,1.23
3.23,2.16,1.29
2.43,1.23,0.58
1.74,1.01,0.63
0.46,0.97,1.6
3.26,0.97,1.8
2.33,0.75,1.3
0.55,0.86,0.35
3.25,1.13,1.3
2.69,0.83,0.49
0.83,1.77,1.43
1.99,1.72,0.98
3.3,2.29,1.05
1.87,1.83,0.53
2.73,1.95,0.87
2.96,1.17,0.36
0.82,1.3,0.41
1.2,1.17,1.41
3.46,2.16,0.91
2.45,1.16,1.24
0.66,1.15,0.54
0.4,0.89,1.06
1.52,1.99,0.73
1.86,1.03,1.09
0.47,0.99,1.2
0.89,1.89,0.77
0.85,1.23,0.36
1.52,1.02,1.23
3.04,1.66,1.34
1.42,1.86,0.56
2.54,2.05,0.69
1.89,0.9,1.61
1.22,1.9,0.84
1.8,1.07,0.67
1.39,0.67,0.92
3.17,1.55,1.62
3.29,1.57,0.83
1.96,1.44,0.45
