x,y,z
1.08,0.82,0.24
1.08,0.81,0.5
1.23,2.06,1.21
2.98,2.14,1.8
1.76,0.76,1.32
2.43,1.29,0.98
1.23,2.18,0.69
3.03,1.43,1.14
2.13,1.63,0.34
3.07,2.22,0.7
3.43,1.36,1.59
1.53,1.58,0.47
2.91,1.11,0.72
1.32,1.26,0.32
3.41,1.46,0.76
1.86,1.21,1.7
2.34,1.69,0.88
1.01,1.59,1.72
2.58,0.68,0.7
3.47,0.75,0.52
1.3,2.29,1.09
1.67,1.86,1.48
1.52,2.13,0.98
2.08,0.7,0.46
0.58,2.15,0.34
1.53,2.2,1.17
1.18,2.2,0.81
1.26,0.88,1.65
2.46,0.75,1.51
2.88,1.97,1.09
2.46,1.75,1.37
0.61,0.93,0.9
0.56,1.77,1.3
2.74,1.67,0.35
2.08,1.26,1.57
0.88,1.24,0.5
2.44,1.39,0.36
0.59,1.49,0.66
3.4,2.26,0.97
1.38,2.17,1.61
0.32,1.63,1.31
