x,y,z
0.58,0.72,-0.32
0.58,0.73,0.5
2.69,1.04,0.38
2.42,0.85,0.95
0.96,1.98,1.27
0.4,0.83,0.67
1.02,0.66,1.28
0.91,2.03,1.42
0.79,1.07,1.23
1.23,1.32,1.45
2.0,1.57,0.5
1.72,1.44,1.31
0.56,0.77,1.8
1.73,1.83,0.78
1.23,1.96,0.64
2.56,2.29,0.97
1.05,1.35,1.29
1.53,0.82,0.58
2.14,0.76,1.28
1.74,1.85,1.29
0.49,1.89,0.52
2.54,1.42,1.77
1.89,1.38,1.3
2.99,2.27,1.09
1.01,0.88,0.97
1.74,0.98,1.09
1.93,0.97,1.62
1.12,2.22,1.16
0.53,1.81,0.9
2.37,1.06,0.53
3.19,1.78,1.29
1.33,1.43,1.62
1.72,0.65,1.09
2.6,1.2,0.65
2.23,1.37,0.94
2.71,0.85,1.08
2.32,1.52,1.57
3.42,1.21,1.13
1.25,1.66,0.92
2.78,1.68,0.31
2.12,1.5,1.69
1.03,0.74,1.31
1.71,1.37,1.12
1.59,1.64,0.86
2.71,0.88,1.41
1.72,1.34,1.71
3.04,2.16,0.88
0.76,1.33,0.3
