x,y,z
0.44,0.27,0.02
0.44,0.27,0.5
2.71,0.83,1.39
1.27,1.43,0.66
2.06,0.9,1.58
2.33,1.48,0.86
2.75,2.0,0.84
0.85,1.25,1.16
0.93,1.58,0.7
3.25,2.14,0.59
2.78,1.8,0.62
2.88,1.87,0.99
2.52,0.93,1.36
1.4,2.09,1.47
2.03,0.65,1.51
0.99,1.97,1.37
2.43,1.99,0.67
1.37,1.66,1.37
3.21,1.33,1.09
3.27,1.54,0.59
2.54,1.31,0.39
0.82,2.07,1.48
1.88,1.29,1.48
2.95,1.8,0.33
3.08,0.98,0.55
2.43,2.2,0.55
2.11,1.0,1.06
3.13,2.2,0.52
1.87,1.51,1.38
2.81,1.69,0.49
2.3,0.65,1.28
1.17,2.12,0.63
3.12,0.64,0.56
3.41,2.08,0.32
0.48,2.18,1.59
3.11,1.55,0.66
1.81,1.47,1.53
1.97,1.63,1.17
3.45,1.84,1.28
2.42,1.66,1.49
1.8,1.59,0.85
2.75,2.01,0.38
0.71,2.03,1.39
1.73,1.71,1.35
3.16,1.37,0.71
3.13,1.47,1.4
2.52,0.93,0.97
3.36,2.04,1.69
2.32,0.78,1.64
0.68,0.89,1.63
0.67,2.16,1.39
0.4,1.31,0.69
2.55,0.99,1.01
1.25,2.06,1.38
3.27,2.07,1.62
0.46,1.67,1.53
0.6,1.95,1.64
2.0,1.44,1.62
1.78,1.44,1.52
1.47,1.8,0.39
0.41,1.19,1.52
2.15,2.25,0.78
2.76,1.16,1.27
2.63,1.9,1.69
3.28,1.34,0.68
2.24,2.09,1.16
2.85,1.62,0.79
2.78,1.62,1.42
3.31,1.87,0.54
