x,y,z
-0.02,0.95,0.43
-0.02,0.95,0.5
3.45,1.22,1.63
3.35,1.79,1.39
2.51,1.95,0.56
2.44,1.86,0.98
3.12,2.12,1.36
3.37,0.88,1.58
1.28,1.52,0.4
1.95,0.63,1.08
1.08,1.21,0.69
3.23,1.31,0.38
3.11,0.75,1.26
3.23,2.02,1.68
0.61,1.24,1.48
2.91,1.02,0.92
1.41,1.49,0.62
2.4,0.84,1.13
0.48,1.0,1.57
3.34,1.06,1.6
2.41,1.78,1.67
1.41,2.12,0.32
1.56,1.71,0.83
0.68,2.29,1.1
1.73,1.99,0.82
2.86,0.74,0.61
2.94,1.21,1.23
2.64,1.42,0.87
1.32,1.89,0.34
2.01,1.22,1.05
2.4,2.28,1.31
0.37,1.41,0.43
3.48,2.24,0.62
1.33,2.04,1.67
