x,y,z
0.23,0.79,0.05
0.23,0.79,0.5
3.07,1.09,0.97
2.76,0.62,1.64
2.65,1.35,0.52
0.32,2.2,1.19
2.27,0.7,0.93
3.14,0.84,1.59
3.07,2.06,1.3
1.63,1.47,0.45
0.83,1.13,0.66
3.0,2.2,1.41
0.62,1.49,0.73
3.25,1.51,0.79
2.41,1.43,1.58
2.05,1.32,0.57
3.25,0.82,0.39
1.0,0.99,1.42
0.31,2.05,1.39
0.94,2.26,0.86
0.79,1.41,0.73
0.47,1.14,0.59
2.06,1.32,1.48
1.18,2.2,1.14
2.62,2.02,0.59
2.9,2.23,0.31
3.07,1.59,0.37
2.9,0.81,0.37
1.39,1.96,0.47
1.87,2.23,1.61
2.78,1.7,1.46
3.27,2.05,0.91
1.87,0.98,1.46
1.63,0.76,1.0
2.67,0.66,1.18
2.72,0.68,0.41
0.74,0.76,1.32
0.53,1.02,0.94
1.76,1.62,1.32
1.85,2.05,0.75
0.42,2.18,0.87
1.98,1.6,0.55
0.73,1.24,1.47
