x,y,z
0.83,0.71,-0.23
0.83,0.71,0.5
3.46,2.03,0.64
0.72,1.03,0.45
0.79,1.87,1.15
1.54,0.74,0.88
2.14,1.12,0.99
2.88,0.77,1.3
3.47,1.69,1.7
0.6,0.94,1.05
2.19,1.31,1.24
1.38,2.15,1.55
2.35,1.23,0.51
0.55,2.15,1.09
1.14,2.07,0.7
0.67,1.33,0.31
2.68,1.41,1.79
2.59,2.23,0.63
1.33,1.25,1.04
2.69,0.8,1.75
1.31,1.15,0.36
1.71,0.65,1.51
2.23,1.09,1.03
1.93,1.16,1.31
2.43,0.61,1.19
2.59,2.09,1.28
1.29,0.96,1.17
0.59,1.53,0.6
1.42,1.52,1.41
2.37,0.71,0.73
2.17,1.35,1.19
2.55,1.27,1.76
3.44,0.7,0.54
2.69,2.07,0.97
3.22,1.54,0.58
2.25,1.56,0.98
